,START DATE(UTC),DURATION,DAY OF THE WEEK
278,2018-09-10,13.222777777777777,Friday
279,2018-09-12,27.239166666666666,Saturday
280,2018-09-13,13.693888888888889,Sunday
281,2018-09-15,36.54972222222222,Monday
282,2018-09-16,0.38083333333333336,Tuesday
283,2018-09-17,25.818333333333335,Wednesday
284,2018-09-18,14.195833333333333,Thursday
285,2018-09-20,27.09111111111111,Friday
286,2018-09-21,1.1475,Saturday
287,2018-09-22,15.926111111111112,Sunday
288,2018-09-23,31.095,Monday
289,2018-09-24,13.626944444444444,Tuesday
290,2018-09-25,14.401388888888889,Wednesday
291,2018-09-26,1.081388888888889,Thursday
292,2018-09-27,23.85611111111111,Friday
293,2018-09-29,18.16138888888889,Saturday
294,2018-09-30,17.224166666666665,Sunday
295,2018-10-01,26.49722222222222,Monday
296,2018-10-02,14.480277777777777,Tuesday
297,2018-10-03,0.7519444444444444,Wednesday
298,2018-10-04,10.350277777777778,Thursday
299,2018-10-05,12.866666666666667,Friday
300,2018-10-06,16.232777777777777,Saturday
301,2018-10-07,14.99,Sunday
302,2018-10-08,36.275555555555556,Monday
303,2018-10-09,13.471666666666666,Tuesday
304,2018-10-10,16.51972222222222,Wednesday
305,2018-10-11,13.488611111111112,Thursday
306,2018-10-12,1.4241666666666666,Friday
307,2018-10-13,16.496944444444445,Saturday
308,2018-10-14,34.44555555555556,Sunday
309,2018-10-15,13.25,Monday
310,2018-10-16,14.509722222222223,Tuesday
311,2018-10-17,13.445833333333333,Wednesday
312,2018-10-19,31.05,Thursday
313,2018-10-20,1.7216666666666667,Friday
314,2018-10-21,32.28777777777778,Saturday
315,2018-10-22,15.617777777777778,Sunday
316,2018-10-23,14.670833333333333,Monday
317,2018-10-24,15.7,Tuesday
318,2018-10-25,13.961388888888889,Wednesday
319,2018-10-27,18.50583333333333,Thursday
320,2018-10-28,27.798333333333332,Friday
321,2018-10-29,15.302222222222222,Saturday
322,2018-10-30,17.544444444444444,Sunday
323,2018-10-31,1.9480555555555557,Monday
324,2018-11-01,24.656666666666666,Tuesday
325,2018-11-02,3.493333333333333,Wednesday
326,2018-11-03,33.00194444444445,Thursday
327,2018-11-04,18.45777777777778,Friday
